,description
492,Wild Turkey 101 Rye - Wild Turkey has been making rye since before the “rye renaissance” began – starting some time in the 1980s using a “barely legal” mashbill of 51% rye 37% corn and 12% malted barley. Around 2012 when bartending morphed into “mixology” and birthed a renewed customer fervor for rye whiskey Wild Turkey’s workhorse 101-proof rye disappeared from shelves and forced the company to create and promote an 81-proof budget variant to stretch stocks. Only last year (2017) did Wild Turkey 101 Kentucky Straight Rye reappear and only in the restaurant- and bar-oriented 1-liter format. It also sported a new label and a higher price tag at around $40 a liter.Wild Turkey is known for using a lower barrel-entry proof than competitors with the goal of pulling the spirit off of the stills with more flavor compounds intact. The barrels are number 4 char (also called “alligator” for their scaly appearance) and bottles are filled at (duh) 101 proof aka 50.5% ABV. Note that aside from the 81-proof rye the company also sells a rye in the pricier Russells Reserve line.Nose Sweet with distinct notes of cherry liqueur blonde fudge and a background of pine sap. Some oaky vanilla in there too but not much in the way of traditional rye “spices”. Maybe some cinnamon.Palate Medium body. Dry woodiness greets the tongue followed by a robust tongue burn appropriate for 101 proof. Barrel tannins cherry juice and sweet corny bourbon notes march in line. More astringent than expected from the aroma and still only limited spices (clove this time).Finish On the short side. A touch of bubble gum a ghost of pine resin and not much else. Forgettable.With Water A few drops of water brighten the palate adding some marshmallow and orange peel. It also seems to improve the finish by allowing some of those fruits to linger adding balance. Water is a good idea here.Overall This tastes like a reasonable budget rye. I think it’s a bit dumbed-down trading in rye spice for corn sweetness and it has a disappointing finish without timely addition of water. Unfortunately it is allocated in some markets and surprisingly pricey when you can find it. The 81-proof is available for $25 a bottle which is also high for what it is. If your purpose is to find a rye for cocktails or ice and don’t want to shell out an extra few bucks for the superior-in-every-way Hochstadter’s Vatted then this isn’t a bad choice especially considering you know where it was distilled unlike most of the cheap NAS rye on the market right now. If you really want bang for your buck though look no further than Rittenhouse Rye 100… at least until Wild Turkey increases production and decreases the price to something reasonable like $25 (the 81 ought to be $20).Despite the price I’ll give this a Recommended rating… but it’s by the skin of its hen’s teeth. Get it? Hen? Turkey?… ok yeah that was bad. I apologize.
493,Wild Turkey Forgiven (Batch 303) - Whiskey at the scale that it’s produced for international consumption is expensive. You don’t write off an entire barrel or vat of whiskey just because someone made a mistake or some act of God collapsed a warehouse on it. You bottle it come up with some marketing spin and a catchy name and try to make a profit on it. That’s what Glenfiddich did when one of their warehouses collapsed in 2010 producing the very tasty Snow Phoenix.According to the marketing spin on Forgiven a warehouse worker accidentally blended some Wild Turkey straight rye into some Wild Turkey straight bourbon which immediately created a blended American whiskey that can’t be called “straight” anymore. Presumably the accident tasted pretty good (and it’s not like this is a new idea after all) so Wild Turkey bottled it as a limited edition small batch blend at 45.5% ABV. The blend is 78% 6 year-old Wild Turkey Bourbon and 22% 4 year-old Wild Turkey Rye. It must have been pretty successful because they went back and made the same “mistake” for a second batch. (The first batch was “302” and this review is for “303”.)Batch 303 appears to be running dry on shelves so if you’re interested you might need to pay a little extra or drive a little further to find it. No word yet on whether the “mistake” will be repeated for a batch 304…Nose Dry spicy with faint peach marzipan and sweet tea. A rest in the glass adds sweetness and reveals some of the rye spices (clove cinnamon etc.).Palate Syrupy body. The same notes from the aroma show on the entry but a wave of tongue burn washes everything away. Hot for 45%. After the burn subsides the aroma notes return plus cinnamon red hots and sugar cookie dough.Finish Medium-long. Somewhat dry but very consistent with the flavors on the tongue. Fades with a bit of hazelnut butter and some slightly-bitter charcoal.With Water A small splash of water appears to have little effect except for taming the tongue burn a bit while also thinning the body.Overall While somewhat dry (like most Wild Turkey) this is a nice balance of the advertised components rye-like spices with bourbon-like sweetness and a little sweet tea and peach thrown in for pizzazz. I’m not sure it’s really worth almost $50 considering the other very value-conscious Wild Turkey offerings especially with no age statement and a midline proof. If you like Wild Turkey and are looking for a slight upgrade you won’t be upset with this. You could alternatively save some money and do your own “blend” with some $20 Wild Turkey 101 bourbon and some $30 Wild Turkey 101 rye. The ages won’t be the same but I bet it would be pretty close in flavor.
494,Wild Turkey Longbranch - I’ve always been a fan of Wild Turkey especially the baseline 101 expression because it has always represented classic bourbon value to me. You pay less than $20 you get a bottle of classically-styled bourbon without any off-notes. Reliable. Simple. Inexpensive.Lately though Wild Turkey has been trying to buck that reputation and compete with the (other) big names in bourbon by releasing special edition this and distiller’s own that which initially struck me as a bit of a betrayal of the brand. Still if you can’t beat ’em…Today we have another special edition this time with a celebrity endorsement. Ugh. Say it ain’t so Turkey. Yes indeed Wild Turkey Longbranch is the brainchild of actor Matthew McConaughey. Luckily I discovered this fact after buying a bottle or I might have been dissuaded from purchase by the sellout-ish-ness of it all. Don’t get me wrong I enjoy me some McConaughey. But I’m also a big Ryan Reynolds fan and you don’t see me espousing the glories of Aviation gin. So we are putting aside The Lincoln Lawyer and whether or not he actually worked hand-in-hand with Jimmy and Eddie Russell to select casks. We also won’t wonder whether the concept of mellowing Wild Turkey bourbon through Texas Mesquite charcoal was his idea or not. We’ll firmly ignore the fact that McConaughey is actually on payroll at Wild Turkey as Creative Director. At the end of the day this is some damn fine bourbon for what is these days a reasonable price.For less than 40 bones you get 8 year-old Wild Turkey Kentucky Straight Bourbon which has been mellowed using a similar process to Jack Daniel’s and other Tennessee Whiskies. Instead of filtering it through 10 feet or whatever of sugar maple charcoal Longbranch is circulated first through American white oak charcoal (the same oak used for barrels) and then through mesquite charcoal from McConaughey’s native state of Texas. Barbecue fans will be familiar with the flavor of mesquite smoked meats which is definitely a departure from oak.The resulting bourbon is bottled at a reasonable 43% ABV and does not provide an age statement which means future batches could dip below that 8 year-old mark. McConaughey and the Russells say they were going for a sweeter mellower easier-drinking style of sipping whiskey but with a hint of Texas smoke. Let’s see how it turned out.Nose Deeply oaky and with more smoke than commonly found in bourbon. It has aromas of charred corn drippy oak resin horehound candy and Moxie. There’s also something vegetal perhaps tobacco leaf. Potent.Palate Medium body. Dry despite the sweet aroma notes. Tons of oak heavy root notes (root beer sassafras etc.) and balanced charcoal. I might taste mesquite or it could be marketing. Either way this is a tasty slightly-sweet bourbon with just barely enough tongue burn to feel legitimate.Finish Long. Most of the palate notes continue through the finish including the mesquite/marketing. Fades slowly without getting bitter. Very nice.With Water Several drops of water initially amps up the nose tickle so give it a rest in the glass. Even after the rest it remains overly astringent. This bourbon does not benefit from added water.Overall This is a very capable bourbon. It ticks all of the boxes while also having a little “extra” in the form of mesquite charcoal and derived mild smoke flavors. I would have preferred an age statement and a bump in ABV to 48% or 50% but even at the suggested retail of $40 this is right on the money – literally! Hah! So I can’t really complain. It can easily be found for cheaper even under $30 which is quite a good deal.Honestly it’s been a little while since I’ve had a new bourbon and thought “Yes I’d buy that again” so I’m going to call this a “Must Try” especially if you already appreciate The Turkey. Or Matthew McConaughey. Whatever.
495,Willett Family Reserve Estate Bottled Rye (2 year) - Kentucky Bourbon Distillers is a big name behind the scenes in the recent renaissance of American bourbon and rye. KBD once the Willett Distillery Company hasn’t actually distilled anything since the 1980s. Until now that is. KBD bottles several brands using whiskey distilled at (probably) Heaven Hill Distillery and LDI including Noah’s Mill Rowan’s Creek Old Bardstown Johnny Drum and their premium and single-barrel label Willett. Now after more than 30 years of bottling other peoples’ juice Willett under the ownership of the Kulsveen family has bottled the first whiskey – a 2 year-old cask-strength rye – distilled at its refurbished distillery in Bardstown Kentucky.This particular rye underwent its first distillation on a column still and a second distillation on a copper pot still from a combination of two mashbills (74% rye 11% corn 15% malted barley and 51% rye 35% corn 15% malted barley with more of the first mashbill used). The distillate went into American white oak charred barrels for two years at the Willett property and was bottled without chill-filtration.Did I mention this is 2 years old? In this era of mediocre NAS bottles championed by the cause of the “age doesn’t matter” marketers it’s refreshing to see a young whiskey advertised with its stated age and despite its youth. If more people taste young whiskey this good then more people will be willing to accept young whisky on the shelf. Then we can finally stop pretending that NAS is the solution to marketing ‘young’ whiskey. Less deception in bottle labeling makes me a happy customer. I say don’t pretend that age doesn’t matter by removing the age statement on the bottle but instead show people that even minimum-aged spirits can be phenomenal when carefully crafted. Nothing will kill the Older is Better myth faster than amazing rye with a big bold “2 years” on the label. Good on ‘ya Willett.Now I have a particular fondness for young rye that actually tastes like rye. I want big eucalyptus wintergreen or pine and I want spicy ‘sharp’ notes of cinnamon cardamom and anise. Occasionally some caraway (think rye bread) is nice too. Let’s see how Willett’s new rye shapes up…Nose Pine! Showers of sappy pine needles. The nose tickle is prominent but not excessive. Deeper in I can get a full round sweetness a smattering of star anise and cardamom and a palpable sense that this is carefully made genuine rye whiskey.Palate Thin body. At full cask strength the burn is (as expected) eye-watering. Then there are waves of minty wintergreen Tic-Tacs sweet cereal grains and malted milk balls (minus the chocolate).Finish Medium-long. A baseline of caramel malt syrup underlies more pine and wintergreen. As the sweetness fades a little caraway and the remnants of anise linger with a slight astringent tannin. No bitterness to speak of.With Water A much-needed splash of water reveals a dusty spice-bin redolent with clove and nutmeg. On the palate the burn is much reduced – a relief – and one is able to focus on the sweet grains and sharp spices of true rye whiskey. The finish is also somewhat spicier – with powdered cinnamon finally making an appearance.Overall A case-study in rye whiskey. Rye is (in my opinion) best serviced by brief aging (two year is perfect) and at cask strength. This is the holy convergence of eclectic robust sippable whiskey and perfection for period cocktail mixing. When you use a “real” rye whiskey like this the rye elements shine through the cocktail marrying perfectly with bitters and the high proof gives the drink body and substance. This type of rye makes for a snappy poignant cocktail instead of a muddy sweet one. I’m very happy that Willett is finally able to distill their own juice and doubly happy that the juice is SO GOOD.
496,Winchester Straight Bourbon - If you want to start a slap-fight amongst self-styled whisky aficionados all you have to do is bring up the recent phenomenon of “rapid aged” whiskies otherwise known as “technology aged” whiskies. The usual stance of haughty affront is somewhat understandable when you consider that much of whisky’s appeal comes from its romantic associations with the little-understood magic of oak barrel aging. Most people agree that oak has pronounced positive effects on grain-based spirits and that those effects tend to become more positive the more years are spent in the barrel. Just look at the NAS debate to discover how much barrel-aging means to the majority of whisky appreciators.So imagine the reaction that such a person would have to the idea that you could replicate some of that aging effect via the use of various rapid technological processes including the use of intense light pressure or ultrasonic vibration and that the effect of oak aging could be induced over the course of hours days or weeks rather than years or decades. “Balderdash!” they might say (or maybe something more colorful).Personally I have now tasted two of these “technology-aged” products and have attempted to maintain an open mind on the subject. Just like my stance on NAS my stance on “technology aging” is that the proof is in the pudding. If it tastes better and is priced lower than equivalent traditionally-aged whiskies I am willing to participate. For examples see my reviews of Lost Spirits Ouroboros and the Abominations. There my conclusion is that Lost Spirits’ proprietary technology aging process produces eclectic and enjoyable whiskies (also rums) that basically create their own market niche. They neither replace traditionally-aged whiskies nor even compete directly against them. They might as well have a shelf to themselves in the liquor store and I will continue to buy them.Enter competitor TerrePURE Spirits based in Charleston South Carolina. A little Googling can tell you what you need to know about the technology so I’ll just summarize it by saying that they use ultrasonic vibrations to induce chemical reactions in a young spirit (in this case 2 year-old sourced bourbon) likely with inserted oak staves. This has a variety of effects including filtering out congeners which cause off-flavors building mouth-feel by esterification of fatty acids and improving color absorption from the wood without added colorants. Due to alcohol labeling laws Winchester Straight Bourbon must be first aged in new charred American oak barrels (the “old” way) for at least two years before it can undergo this “ultrasonic filtration”. The Winchester brand also sells an “Extra Smooth Bourbon” and a “Rye Whiskey” which do not have this 2 year requirement. The Winchester brand is made by TerrePURE as a private label for sale at Total Wine & More stores. The bourbon is bottled at 45% ABV and sold for around $25 per 750ml bottle.Nose Sweet floral tutti-frutti. Deeper in the glass is bubblegum and kiwi green apple green pear and a fake almost-cloying corn-syrup note like cheap drugstore candy. Smells EXACTLY like McAfee’s Benchmark Old No. 8.Palate Thin. Sweet up-front like liquid tart candy. Apple skins fresh corn bottled light corn syrup. Very little tongue burn but there is a background acrid plastic note and a grainy corn-whiskey note.Finish Short. Simple fruity. Fades with a bit of barrel-char bitterness which is the first note of oak I’ve tasted yet. That acrid plastic note returns now tinged with menthol… like mouthwash. Ends with a flourish of honey.With Water A few drops of water dull some of the fruit and release a wave of vanilla extract. The finish is a little more tart. Water optional.Overall At first it reminded me of McAfee’s Benchmark in that it smells highly floral and fruity for a bourbon and comes across the palate thin and insubstantial like an unaged corn whiskey. The whole is oddly candied and has fruit notes like you’d imagine finding in beakers at a candy factory lab but with a lurking background of cheap-tasting acrid grain. This my first impression of the TerrePURE technology is that in the process of stripping unwanted by-products of bourbon distillation they’ve also stripped much of what makes a whiskey taste like bourbon. This leaves you with a kind of bourbon-flavored corn brandy. Weird and not very pleasant if you’re expecting bourbon. If you’re used to flavored vodka this might not taste awful but you’d be far better off buying something like Four Roses Yellow Label which is a far superior introduction to real bourbon and cheaper to boot.In this case at least the naysayers have it right. TerrePURE technology aging has turned bad sourced 2 year-old straight bourbon into bad technology-aged straight bourbon. No thanks.
497,Wolfburn Aurora - Wolfburn Distillery in Thurlo is the true definition of a reopened distillery First established in 1821 it became the largest distillery in Caithness in northern Scotland and then fell into ruin sometime in the 1860s. The original distillery is now no more than a vague pile of stones. The modern Wolfburn distillery was rebuilt near the site of the original distillery and ran its first spirit run in January of 2013 using the same process water from the Wolf Burn. The whisky is double distlled and aged in a combination of casks. Wolfburn produces both peated and unpeated malt. You’ll see claims from Wolfburn about being the northernmost distillery in Scotland. Of course they mean mainland Scotland as both Scapa and Highland Park of the Orkneys are further north.Wolfburn Aurora was released in 2016 from 3 year-old Wolfburn malt aged in a variety of casks. Reportedly this means 40% of the whisky was aged in second-fill quarter casks 40% in first-fill ex-bourbon barrels and the remaining 20% in first-fill Oloroso sherry hogsheads. I believe those quarter casks originally held Islay malt (the first Wolfburn whisky was aged in ex-Islay quarter casks) although I don’t detect any peat so maybe these are different quarter casks. The whisky is not chill-filtered and has no added color. It is bottled at 46% ABV. The Internet calls this craft presentation and dogma aside it’s a good idea all around.For what it’s worth the label contains the phrase “Matured in ex-bourbon oak casks for 3 years” but it’s in tiny print at the bottom of the back label. I guess we can still call that an age statement.Nose Resinous slightly rancid sherry with some tannic red wine. Beneath that red berries and caramel malt. A rest in the glass disperses the rancidity and somewhat brightens the fruits. Palate Thin bodied. Robust tongue burn up front which resolves into cinnamon extract powdered ginger and berry jam over a thin layer of malt. Eclectic. Feels incomplete.Finish On the short side. Cane sugar (molasses) and mild oak tannins. Fades vaguely without resolution.With Water A few drops of water wake up the sherry a bit – adding fruit – and also round out the vanilla sweetness in the aroma. The palate also seems fuller and more dynamic. Water highly recommended with this one.Overall This feels like a young malt that shows older on the stage but which has been contaminated by an inferior cask of sherry that left most of the fruit in the wine and presents largely off-putting rancio and resin notes. It is possible to drink this and ignore these elements but the experience seems incomplete. Perhaps older malt left in ex-bourbon for longer would have stood up to or better incorporated the sherry. I was thoroughly lucky to obtain a closeout bottle of this for $30 which is really the exact price point where this belongs. If market forces and industry overhead didn’t force new and craft distillers to overcharge the market would consist of much more good fairly-priced whisky. Alas that’s not the world we live in. I am looking forward to seeing what 6 or 8 year-old Wolfburn is like but I won’t be dropping $50 on any 3 year-old from the distillery.
498,Woodford Reserve Bourbon - Update 9/7/2015 I’ve revisited this review. Click here for an updated review for 2015!Woodford Reserve made by Brown-Forman in Kentucky is Kentucky Straight Bourbon. It’s somewhat unlike other bourbons in that it contains some percentage of whiskey made in copper pot stills and triple-distilled – in the Irish style of whiskeys such as Redbreast. Unlike Redbreast Woodford Reserve uses a mash of corn rye and malted barley and also re-uses some of each run’s fermented mash in the next batch – a tradition called “sour mashing”. This pot-still whiskey is combined with column-still whiskey and aged in new toasted oak barrels for between four and six years. It is bottled at 90.4 proof (45.2% ABV).I’m still working my way through a pile of American whiskey samples. I had heard good things about Woodford Reserve and was looking forward to this miniature. Unfortunately my sample may have come from an overly sulfur-influenced batch as I detected an unpleasant “rotting banana” note in the aroma. I intend to seek out another taste of this whiskey and I will update this post when I do. That said here are my notesNose Banana charcoal a bit sulfured? Green grass in a compost bin. Water intensifies the “rotting fruit” note.Palate Fruity with a silky mouthfeel and dominant notes of chocolate-covered banana creamy vanilla pudding young green oak. Thankfully the sulfur does not intrude. The grain alcohol is milder and more mature than in cheaper bourbons. A few drops of water doesn’t alter the apparent flavors for me.Finish Smooth and medium-length. More wood char and oak tannin fading vanilla bean.While this is quite a decent sip there is nothing outstanding about it to recommend it. Mild and smooth oaky and with that familiar bourbon barrel-char and brown sugar flavors… it still doesn’t inspire me to drink more. I’m also not crazy about the nose – too composty for me. Maybe it’s the sulfur?
499,Woodford Reserve Bourbon (Revisited) - Way back in 2011 when I was just getting introduced to bourbons after launching the blog with the intention of only covering scotch I had a relative stinker of a 50ml sample bottle of Woodford Reserve Bourbon and was called out in the comments by Woodford adherents that I was doing the whiskey a disservice by reviewing it based on the sample bottle. Normally my opinion is that since many people use 50ml sample bottles to try out new spirits before committing to a full bottle it’s on the head of the manufacturer if those samples don’t represent the real product. Still I had an opportunity to revisit Woodford Reserve recently – this time from a full 750ml bottle – and thought it would be appropriate to review it again for National Bourbon Heritage Month. Does my review from 4 years ago hold up?Woodford Reserve made by Brown-Forman in Kentucky is Kentucky Straight Bourbon. It’s somewhat unlike other bourbons in that it contains some percentage of whiskey made in copper pot stills and triple-distilled – in the Irish style of whiskeys such as Redbreast. Unlike Redbreast Woodford Reserve uses a mash of corn rye and malted barley and also re-uses some of each run’s fermented mash in the next batch – a tradition called “sour mashing”. This pot-still whiskey is combined with column-still whiskey and aged in new toasted oak barrels for between four and six years. It is bottled at 90.4 proof (45.2% ABV). My bottle is from Batch #941 Bottle #6643.Nose Toasted marshmallow. Marzipan cherry pits. Candied apple (the red kind). Over all of that is a blanket of paint thinner or fresh plastic.Palate Sweet medium bodied. Almost syrupy. Oak and cashew butter up front then dried apple and barrel char.Finish Medium-long. Continuing flavors from the palate – dried apple nuts oak and barrel char. Fades with slight bitterness some more plastic-like flavors and a little tobacco.With Water A splash of water really wakes up the cherry notes. Fresh tart cherries as well as dried ones. However it adds some extra paint thinner / varnish on the palate and a slight rotten fruit note that fades quickly. Ups the bitterness of the charcoal notes. Try this one both with and without water to see how it works for you.Overall First I should note that my original review was done from a 50ml sample “airline” bottle. This time from a full 750ml glass bottle I thought the aromas and flavor were a little more in line with what I expect from a bourbon. There is a nice balance of acidity from the fruit notes (mostly cherry and apple) and the intense nuttiness on the front of the palate. Unfortunately this is waylaid by what I call “paint thinner” which is really a slightly bitter slightly chemical aroma and flavor that I get when tasting especially cheap (although this is not cheap) spirits. This does make an excellent cocktail where the sweetness fruit and nuttiness comes through although for the price you’re probably better off with a bottle of Eagle Rare (or a Costco 1.5L of Buffalo Trace!).I know there are a lot of Woodford Reserve fans out there so I’ll qualify my conclusion by saying that this bourbon simply isn’t to MY tastes although if you don’t detect the plastic/chemical notes that I get you’d probably find this to be a quite tasty bourbon and worth your money. I’d be the first to admit that my 2011 review was flawed but after tasting from a full bottle I’ll have to stick to my conclusions.Update Check out my review of Woodford Reserve ‘Double Oaked’ here.
500,Woodford Reserve Double Oaked - Finishing whiskey in a second barrel is nothing new. Angel’s Envy uses a port barrel for the second maturation for example and the practice of “finishing” is rampant in the scotch whisky industry. Brown-Forman makers of Woodford Reserve came up with an innovative approach to this old concept Use a fresh new (and slightly differently charred) oak barrel for the second barrel maturation. Mind. Blown.You see as a whiskey ages volatile compounds in the wood react with the whiskey in various and undocumented ways. Some of this is simple dissolving of compounds into a solvent (alcohol) and some of it is esterification and transesterification which are types of chemical reactions involving the alcohol the wood the charcoal and the oxygen in the barrel. At any rate this process occurs on a spectrum of time where certain compounds are released early and others are released or created over longer amounts of time. The longer the whiskey ages the more of these compounds are “spent” as the barrel has less readily-available (near the surface) react-able compounds. If you take such a “spent” barrel and re-use it (as the scotch industry does) you get a different set of reactions different compounds and different flavors that take longer to develop. You can increase the activity of a spent barrel by scraping off a layer of used-up wood and re-charring it to release and activate more of the wood.What Brown-Forman realized is that by taking their standard 72% corn 18% rye 10% malted barley bourbon and re-casking it into one of these brand-new casks for a little under a year you restart the process and get a double dose of those “early” readily-available compounds into the whiskey. Further by heavily toasting and lightly charring (instead of the usual heavy charring) the second barrel you encourage a slightly different set of compounds to develop in the charred surface of the oak. Brilliant. Also expensive… since you just bought one barrel of whiskey for the price of two. But… does it work?Nose Dark chewy molasses cookies or gingersnaps. Intense nutty and with a piercing tart note like apple cider vinegar. Woody; that extra maturation in new oak does seem to intensify the oak aromas.Palate Thin body. Lump charcoal up front almost smoky. Then sweetness shines through with molasses pancake syrup and toffee. Moderate tongue burn (appropriate for 45-ish percent ABV).Finish Of medium length. Very woody with a lot of drying antiseptic tannins. The sugar manages to keep pace as does the not-quite-bitter charcoal. Even that vinegar note persists. Fades slowly without evolving.With Water Several drops of water have no apparent effect on the aroma and simply mute the tongue burn on the palate. This bodes well for its ability to work in cocktails or handle ice.Overall A robust intense and woody bourbon that reminds me of a budget Stagg Jr. but without the proof. This definitely has more depth of flavor than is normally available outside of cask-strength bourbons like the Stagg. The whiskey seems to be missing any fruit notes but manages to maintain a tenuous but successful balance between sweet smoky oaky and bitter. These qualities also allow it to shine through in cocktails.Even though the price is almost but not quite double that of the standard Woodford the quality is in line with other $40-$50 bourbons. I wouldn’t buy this at the higher end of retail (I’ve seen it for $60!) but $40 is fairly spot on and that’s saying a lot for a bourbon. It also comes in a handy 375ml half-bottle if you’re not ready to commit to a full bottle.I like this a lot better than the standard Woodford and would consider buying a full bottle the next time I run out of Stagg Jr.
501,Woodford Reserve Rye - In a refreshing departure from mainstream bourbon brands releasing LDI/MGP rye under their own labels and then claiming some kind of “heritage” of rye distillation Brown-Forman’s Woodford Reserve actually went out and – gasp! – made themselves a rye! After a few experimental batches that were limited releases so limited I never even heard of them Woodford Reserve Kentucky Straight Rye Whiskey was released in 2015 as a regular part of the portfolio at the same proof as the company’s bourbon (45.2% ABV). The rye (like the bourbon) is made from a combination of pot-still rye whiskey from the historic Woodford Reserve distillery and column-still rye whiskey from the Brown-Forman distillery in Shively KY.Unlike a lot of recent rye releases crowing about their “high-rye” mashbills the Woodford Reserve Rye mashbill can only be called “low-rye” 53% rye (the legal minimum is 51%) 33% corn and 14% malted barley. Woodford Reserve claims this mashbill was chosen to maintain the house characteristics familiar from its bourbons and is thus sweeter than most ryes. With no age statement on the bottle and the “straight whiskey” declaration one must assume the rye is at or slightly above 4 years of age.My bottle was #2166 from batch 52.Nose Baking spices greet the nose in classic rye fashion. Deeper in there is a strong cherry liqueur aroma plus marzipan dry corn and a malty-but-not-too-sweet grain presence. Beneath this is a vegetal layer of mild sweet grass and – weird – dill.Palate Medium bodied. Distinct tongue burn (I would have said this was 50% ABV) which starts out dry and slightly bitter and then turns malty and sweet and mildly bitter (fruity bitters though like Angostura or Peychaud’s). Finish Medium-short in length. Spicy with cinnamon red-hots and clove fading into ginger (candied; dried). Not overly bitter on the finish.With Water Several drops of water open up a little vanilla buttercream frosting and some dark sticky caramel notes on the aroma. The palate seems fuller and somewhat sweeter. The finish unchanged. I recommend a little water with this – at 45-ish% ABV it can’t hurt.Overall The aroma (ignore the dill that’s probably just me) is a nice full balance of dry rye spices with welcome bourbon-y cherry and oak. The “bitters” flavors on the palate are interesting – as if the glass were just an ice cube and a teaspoon of sugar away from being an Old Fashioned. It’s unusual but welcome. That bitterness is adequately balanced with oaky sweetness. The finish is run-of-the-mill if on the short side. The occasional green/vegetal note means the batch could use some additional time in oak but the effect is faint and I’m just nitpicking. This is a decent sipper and at a well-chosen strength makes a fine choice for your Manhattans.
502,Woodinville Straight Bourbon - Woodinville Straight Bourbon is a straight bourbon that is pot distilled by Woodinville Whiskey Company in Woodinville Washington state. The distillery established in 2010 was acquired in 2017 by Moët Hennessy (LVMH) which might explain why it’s now popping up on store shelves. All of the grain for distillation comes locally from the Omlin Family Farm. This particular release has a mashbill of 72% corn 22% rye and 6% malted barley (for enzymes) and is bottled at a reasonable 45% ABV. As I mentioned in my review of Woodinville Straight Rye it’s not often these days that I run across a true craft (as in made at a real small distillery) whiskey for under $40 that is excellent for sitting down and sipping.As a Straight Bourbon that does not have an age statement on the bottle it should legally be 4 years or older. How likely is a small craft distillery to follow Federal labeling requirements to the letter? Unknown but anecdotal sources online say the whiskey is 5 years old just like the rye.On their website Woodinville makes a point of discussing the seasoning technique for their barrel staves. Specifically because the oak is air-dried for 18 months instead of kiln dried the barrels are of higher quality and less likely to impart bitter tannins to the whisky. There are other benefits to the lengthy (and expensive) process of air-drying oak for staves but once you go down the rabbit hole of barrel wood science well… I’ll leave that as an exercise for the reader. Suffice it to say this is a Good Thing(TM).Nose Deeply oaky with buckets of buttery resinous caramel-rich oak sugars. The rye notes also come through as pine sap caraway and clove. Palate Silky body. A reprise of the aroma’s array of woody sweetness plus a new (requisite for bourbon) cherry syrup note. Subsequent tastings reveal a marshmallow note.Finish Medium-long. Classic bourbon. Sweet woody and with a layer of cherry pie filling. These three elements linger together for awhile before fading with a hint of menthol.With Water A few drops of water add even more sweetness to the aroma in the form of vanilla extract. The palate and finish seem unaffected.Overall This is quintessential unadorned bourbon that ticks every box but does not stand out either. There are no off-notes and everything is in the expected balance of corn sweetness and oak. Unlike the rye this bourbon does not offer anything “extra” to justify its craft price. If you already like the rye and want to support the distillery by all means try the bourbon. If you’re price-conscious and looking for a new bourbon know that you can do better for less. Eagle Rare 10 for example is better if you can find it for under $40 and there are many excellent (non-craft) bourbons in the $20 – $30 range that easily stand up to this.I’m giving this a Recommended rating because it’s very good bourbon for less than $40. It’s not a “Must” anything however.
