,id,description
224,Gooderham & Worts Four Grain Canadian Whisky ,"[': Spicy, but in a cloyingly sweet way (like cinnamon and cardamom in syrup). Corn syrup… maple syrup… all the syrups. The grain profiles seem to be buried under four to five layers of treacly heavy sweetness, although some notes of sweet corn, green apple, and lemon peel peek through like shipwrecked sailors drowning in an ocean of corn syrup.', ': Medium bodied with a very low, gentle tongue burn. Again, the first impression is one of spice, while all of the following flavors are syrup and candy and sweetness. A bit of dried cinnamon and clove, and a hint of acetone near the end, alas.', ': Short. The acetone appears quickly, and is paired with a slightly bitter or astringent charcoal note. The sweetness seems to have ended, but there also doesn’t appear to be much underneath it. Fades quickly.', ': Several drops of water initially wash out the aroma, and increase the nose tickle. After a rest in the glass there might be an extra green pear note. The palate seems unchanged. Water optional, but I don’t think it helps.', ': I’m pretty disappointed. I expected something closer to ']"
225,Gordon & MacPhail: Mortlach (15 year) ,"[': Meaty dried figs, sweet fresh hay, and something savory like a soy sauce glaze on short ribs. Elegant and robust, although none of the aromas are overdone. Unmistakably sherried, but not a “sherry bomb”. A slight smoky vegetal note arises after a rest in the glass – smouldering wet leaves – although the effect is not strong enough to call it peat.', ': Heavy bodied – almost oily. Like the aroma, the flavor balances sweet and savory, with jam and cooked fruit flavors marrying with toasted oats and buttery oak. The effect on the tongue is heavy, slightly sweet, and complex.', ': Medium-long, and warming. Stewed plums, coffee cake, and wet hay. Not bitter.', ': A few drops of water seem to bring out a weird vegetable aroma – almost like celery. Weird. Certainly experiment with a little water, once you reach the bottom of your glass, but otherwise there’s no need for water here.', ': A stately, refined example of sherried Mortlach. Something about this distillery speaks of the Scotland of yore. Having never experienced the Scotland of yore, I can only assume it’s the combination of excellent sherry casks with the meaty, oily, rough-around-the-edges malt of Mortlach that gives me the impression. Mortlach is a necessary education for any lover of scotch, and the 15 year-old available currently from Gordon & MacPhail is a fine tutelage, especially considering that the alternative is the official bottling at $110!']"
226,Grant’s 12 year-old Blended Scotch ,"[': Orange peel, honeyed malt. Sweet and bready like sugar cookie dough. Simple, and doesn’t change in the glass.', ': Syrupy body. Sweet and simple, but with some weight. Honey up front, with a continuation of the cookie-dough theme. Slightly bitter citrus peels follow, and a tinge of barrel char.', ': Short. Yeasty, with a reprise of the palate notes, plus a little cinnamon. Fades quickly without evolving.', ': A few drops of water open up a dusty spice cabinet, with spent clove and dried-up ginger. The palate is, however, a little more complex and with a bit more spice. This doesn’t really need the water, but isn’t hurt by it.', ': Unchallenging but enjoyable. A good “I don’t want to think about it too hard” kind of dram, without any rough edges or unexpected twists. Sweeter than most other mid-aged blends, but with less fruit. The Girvan grain component keeps its head down, and does not contribute any off flavors or betray any youthful alcohol notes. Of course this is discontinued, I would buy more if it weren’t. Similar in a lot of ways to ']"
227,Great King Street “Artist’s Blend” ,[]
228,Great King Street: Glasgow Blend ,"[': A whiff of peat greets the nose first – there’s no shying away from the peat in this blend. The peat is a little smoky and airily herbal, but I can’t place it as Laphroaig, Lagavulin, or Ardbeg. Underlying the peat are wisps of fruit in the form of crushed berries and unripe figs. While it has more presence than ', ': Deep, earthy notes of tobacco and fruitwood smoke. A pleasantly creamy body without tongue burn, and more wisps of fruit. Subtle but artful. The fruit is present, but weaves into the peat effortlessly. Well played Mr. Glaser.', ': Medium length. The peat earthiness continues, growing a little more smoky and allowing the fruit to drop away. As it fades, there are hints of oak tannins and then the whole becomes mineral and dry.', ': A few drops of water tame the smoke, and bring out a few soft cereal notes on the tongue. They also seem to chase away the fruit from the sherry. I don’t see the need for water with this one.', ': John Glaser continues to do what scotch blending companies have been advertising that they do for decades. He takes a components that are worth drinking on their own and crafts something with them that is truly impressive for under $50 a bottle. If you’ve ever tasted blended scotch and thought it needed more flavor, or wished for some real peat presence in ']"
229,Green Spot Château Léoville-Barton Irish Whiskey ,"[': A duality of bright, fresh, bursting red berries and intense, cooked, stonefruit jam. Light and airy, but with a strong foundation of malt and pot-still barley notes (like oatmeal cookies). Sweet coconut cream. Delectable.', ': Soft and creamy. A bit of tongue burn. Soft grains, malt, toffee, and blonde fudge, with a drizzle of blackberry coulis.', ': Sweet and dessert-y, more coconut cream (filling), raspberry jam, and vanilla bean ice cream.', ': A few drops of water reveal some sherry notes – fig and fruitcake – as well as an almost Sauternes-like honeyed grape aroma. Water does not go amiss here, but don’t be heavy-handed lest you drown out some of the more delicate flavors.', ': Unlike ']"
230,Green Spot Irish Whiskey ,"[': Clearly sherried. Orange peel and candied ginger. Tangy and somewhat herbal. Green pear and cotton candy. Honey-lemon throat lozenges. After a rest in the glass, there is a fibrous fruitiness, like the skin of a red delicious apple. Even further in is a faint whiff of the nutty coconut I associate with bourbon-matured pot still whiskey.', ': Unctuous body – mouth coating. Minimal burn. Spicy ginger, apple cider, and nondescript grain.', ': Medium length, the honey and lemon lozenge remains behind as the spicy notes fade. No trace of bitterness. Simple and refreshing.', ': A splash of water reveals bright, fresh green banana on the nose, really washes out the palate, and adds a little peanut butter note to the finish. I wouldn’t recommend the water for how it affects the body. At 40% ABV, it hardly needs further dilution.', ': While it has the same mouth-filling unctuousness as ']"
231,Greenore (8 year) Single-Grain Irish Whiskey ,"[': Heavy grain notes – hay, white glue, industrial solvent (paint thinner). Some faint notes of vanilla and sugar cookies. After a lengthy rest in the glass, the weird notes are partially covered up by sweeter ones… now it’s sweet glue, sweet paint thinner, etc.', ': Syrupy body. Mild caramel, heavy dried coconut and coconut water, more industrial glues.', ': Short. Faintly sweet, with a lot more vanilla and some honeyed notes. No bitterness or really any oak tannins to speak of.', ': A few drops of water have no noticeable effect. I would skip the water, especially at the anemic bottling strength of 40% ABV.', ': It’s hard to get past that paint thinner on the nose, but once you do the experience is like a milder, subtler, simpler ']"
232,Hancock’s President’s Reserve ,"[': Meltingly sumptuous fruit notes of mango sorbet, kiwi, and Red Delicious apples. Floral notes of honeysuckle and damnit-I-don’t-know-flowers-but-they’re-in-there. Clover honey, fresh hay, and a hint of marzipan. The aroma keeps evolving as I nose it. Now coconut cream pie, now plum wine, now pineapple juice. Wow.', ': Thin body. Mai Tai (high-end fruit punch, I guess?), fresh banana, and black tea precede a mild to moderate tongue burn. Which – I expected more! – doesn’t seem to evolve much on the tongue.', ': Long. Lemon verbena, tobacco leaf, slightly bitter barrel char, pencil shavings (oh God I sound like a wine snob), and corn pudding. The finish doesn’t evolve much, but it does definitely linger.', ': Several drops of water wake up some extra fruit notes of tropical persuasion. I dunno… passion fruit? The palate is a little livelier, the finish fruitier. I’d definitely recommend trying this with some water after a few sips neat.', ': Excellent. I didn’t know what it was at the time I tasted, but damn is it tasty. The aroma – especially – goes on for days and makes this some of the tightest-packed fruit-forward bourbon I’ve ever smelled. For $45 this is an experience that is not worth passing over. If you can find it and you already like bourbon, get it. It’s really not like anything else I’ve had, even from Buffalo Trace. If you can’t find it, don’t fret – another batch will be along eventually… just don’t pay $120 for it online. It’s not worth that.']"
233,Hankey Bannister Original Blended Scotch ,"[': Light grain, lemon peel, and a heavy dose of grain neutral spirit (vodka).', ': Nice, creamy mouthfeel. A Glenkinchie-like lemon pervades the flavor, and isn’t much balanced by anything, including the continuing vodka notes.', ': Short. A slight marshmallow sweetness, lemon candy, and vodka. Finishes with – you guessed it – vodka.', ': A few drops of water heighten the citrus notes – adding grapefruit, notably – but do little on the tongue or finish. Water neither hurts nor helps.', ': Some part of me thought that a little-known (in the States) homestyle blend might carry with it a cure for the common blend, perhaps carrying the Old World love of blended scotch into the modern age. Alas, this is brown vodka in the worst sense, with entirely too much “light whisky” – practically grain neutral spirit or vodka – without nearly enough flavorful malt to fill it out. The only things it has going for it, aside from the silly British name, is a bumped ABV and some pleasant lemon notes.']"
234,Hart Brothers Laphroaig 18 year ,[]
235,Hazelburn (12 year) ,"[': White pepper, honey, and mild floral funkiness that almost smells like peat. The funky note is just potent enough to add complexity in the form of a floral spike and a citrus twist to an otherwise baseline malt profile: honey, caramel, plain oak. A rest in the glass allows a pear note to develop.', ': Medium, syrupy body. Delectable – a striking balance between green apple / lemon-lime tartness and oaky, brown-sugar flecked sweet malt. The whole is underlain by a murky, dusty complexity. A whisky to contemplate.', ': Medium-long. First, piney floral notes give way to lemon zest and then not-quite-bitter oaky tannin. Not as lingering as a peated malt, but also fades without bitterness.', ': A few drops of water amp up the vanilla notes, adding a sweet “cream soda” element to both the aroma and palate. I suggest trying without water first, and then witness the change that occurs with a few drops.', ': Whereas ']"
236,Hazelburn (8 year) ,"[': White peach and vanilla. Very mild and soft, elements of sugar cookie and white raspberry, and a ghost of spearmint. Elegant and floral, but not very complex.', ': Mildly creamy body, with some high acidic notes of green fruits and dry white wine. Progresses into white chocolate and macadamia nuts.', ': A hint of Springbank style, with a nutty oiliness that only emerges on the finish. Hazelnut skins, vanilla bean, and rice pudding. On the tail end, a little bitterness.', ': A spare few drops of water bring out a little green apple skin in the nose, but also up the octane of the alcohol vapors. Water adds a suggestion of … peat?! to the palate, although it fades quickly. I would leave out the water.', ': Very light and unassuming. A bit like Auchentoshan, but with nuttier flavors like hazelnut and white chocolate. Worth the price of a full bottle? Only if you’re crazy for the lighter style of triple-distilled whisky.', ': Turns out ']"
237,Henry McKenna Bourbon ,"[': Fruit punch and/or tutti-frutti. Bubblegum. Some nose tickle but no paint thinner or rubbing alcohol notes. Light, and one-dimensional.', ': Thin body. The fruit punch note returns on the palate, along with some marshmallow, bubble gum, cotton candy, and corn syrup.', ': Medium-short. Slight barrel char, and a hint of menthol. Not bitter. Fades without evolving.', ': A few drops of water amplify the ‘fake’ fruit notes a bit, which bodes well for mixability. The liquid is even thinner on the tongue, but the finish has more vibrancy and more fruit. Water isn’t a bad idea with this one, but certainly isn’t needed.', ': That fruit-punch note shows up in low-end bourbons, including ']"
238,Henry McKenna K&L Single Barrel (10 year) ,"[': Pecan pie, heavy spices (cinnamon, clove) and a hearty dose of cherry liqueur. After a rest in the glass, there’s a yeasty bread note and apparent oak.', ': Sweet corn up front, with a distinct woodiness – not unpleasant. Some initial burn, but not too harsh for 100 proof. Cherry cola, cough syrup, and marzipan. A hint of bitter herbs.', ': Long. Sweet notes, including the oak, linger. At the tail end, a suggestion of mint and charcoal. Slightly more bitterness than I like in the finish.', ': Water adds some perfume to the nose – the cherry becomes cherry blossoms – and the oak becomes sappier and sweeter. The palate also benefits from the water, becoming a little better integrated and a bit more tart. Here’s a great example of a mediocre whiskey that blossoms into elegance with just the addition of H', ': Cost $27 but drinks like a $45 bourbon. A hefty 100 proof gives weight, and the rye-inflected standard bourbon notes are all accounted for and in the proper proportions. I could wish for a little more silkiness in the body and a bit more caramel and less charcoal in the wood notes, but all around a decent workhorse whiskey. A few drops of water elevate it to a $55 bourbon. Did I mention it was $27?']"
239,Hibiki (12 year) Japanese Whisky ,"[': Orange peel, and some very aromatic florals (cherry blossom?). The grain component is soft and yeasty, and an altogether foreign aroma pervades – this is when I race to my computer to learn this whisky is partially matured in ', ': Not as creamy as expected, but the grain is soft and there is a pillowy texture to it. Light malt, light wood (marshmallow), and a teasing bright, acidic young fruitiness. The little bit of oak present here is nothing more than a frame for holding the canvas of grain on which these flavors are painted. Woah, apparently Japanese whisky makes me wax poetic. Did I already talk about cherry blossoms?', ': There’s the plum again, and the grain whisky yields to some really nice steamed bun and buttered scone flavors. The finish is quite short, leaving behind only a minerally taste – like good spring water. Very clean and crisp.', ': A few drops of water makes the nose somewhat more cereally. However, it really makes the fruit notes dance on the tongue – lots of fresh acidity and green fruits appear. This dram is definitely well-served by a small (SMALL) addition of water.', ': For me, this dances circles around every Yamazaki single malt I’ve had, even the 18. Where Yamazaki seems to be all about heat and banana (its effect on me is very similar to that of younger ']"
240,High West Double Rye! (New Recipe) ,"[': Complex, with a distinct “young rye” eucalyptus/menthol note that is well-balanced and held in check by a malty sweet cinnamon-roll character, complete with that sinful white confectioner’s glaze. Deeper in the glass, there are some rye grain and flour notes (bready, yeasty, nutty).', ': Syrupy body. Moderate to severe tongue burn – a little hot for 46% ABV. Again, the sweetness of the older rye perfectly balances the vibrancy and grassiness of the younger. Both are detectable. Toasty, nutty, sweet, and complex. Nice.', ': Medium or medium-long. All of the previous notes continue into the finish. Fades with a dash of charcoal, but no bitterness.', ': A few drops of water serve to integrate the components more fully – it’s now harder to discern the young rye and the old rye. Beyond that, the palate gains a hint of bakery goodies… ', ': Pleasant, well-balanced, and just complex enough to justify the price. Some of the particularities of this whiskey are likely to be lost in a cocktail, although if you’re used to a bottom-shelf rye in your Manhattans, this is going to be a noticeable step up. As a mixing rye, though, I don’t think it’s necessarily better than ']"
241,Highland Park (12 year) ,"[': First impression is of warm, earthy peat. Beneath, a layer of lemon oil and candied lemon peel. Sharp ginger, grapefruit juice. Freshly-baked gingersnap cookies. As it sits in the glass, the citrus notes darken and give hints of blood orange and marmalade. Orkney peat is unmistakable, and here it is vibrant and enthusiastic, although there’s an off-note to the alcohol – just a hair too young. A long rest in the glass reveals some velvety vanilla and lavender.', ': Medium-bodied, almost silky, and quite smooth. Up front there’s a bitter note – burned almonds – which fades as waves of malted grains, brown sugar, lemon custard, and caramel cover the tongue. The smokiness that was missing from the nose appears here in the form of smouldering hay and spent matches. On the tongue it develops a woody cast, and slants towards varnish.', ': Long. The bitter notes re-emerge. Blackened wood and spent campfire war a bit with the clean, citrusy flavors. Unfortunately, the bitter woody notes prevail and last several minutes. This negative effect seems to fade the more you drink… or maybe that’s just the alcohol talking!', ': Water brightens the peat in the nose considerably, yielding freshly-squeezed lemon juice and cider vinegar, and heightening the alcohol tickle. On the tongue there is more malt upfront, with soft caramels, mushroomy peat, and roasted almonds. The finish may be slightly less bitter, although woodsmoke and barrel tannin persist. This dram is significantly improved, overall, by the water. I recommend its addition highly.', ': By the time this ']"
242,Highland Park (18 year) ,[]
243,Highland Park Magnus ,"[': Gentle peat, light lemon and orange peel. Grapefruit. Deeper in the glass there’s a nice juicy tangerine note. Sweet, light, and with only an echo of floral Orkney peat.', ': Thin body. Mild tongue burn. Somewhat sweet on the tongue – shortbread or biscuits. Very slightly acrid – charcoal maybe.', ': Long ish. The citrus peel returns, along with some bitter barrel tannin and rosewater. Fades slowly without added complexity.', ': Several drops of water brings out a Lemon Pledge note – turning citrus peels into citrus-scented cleanser. The palate seems softer, with a bit more malt. No need for water here.', ': This is very similar to the ', ' it is!']"
244,Hirsch Small Batch Bourbon ,"[': A little plastic-y up front, which suggests a rest in the glass is in order. Dry and woody, with oak sawdust, charcoal, and faint rock candy. Even after a rest in the glass, the plastic character remains, although a hint of marzipan (almond paste) and cherry syrup creep in.', ': Medium bodied. Pretty hot, for a 46% ABV. Sawdust and charcoal dominate, with elements of woody molasses and tobacco. ', ': Medium-short. A nice cinnamon-and-sugar note appears on the finish, along with mildly bitter barrel char and some mouth-drying oaky tannins.', ': A few drops of water perk up the apparent sweetness a little, although the whiskey also yields more fake “plastic” notes in addition. The palate is softer and burns less, but no interesting flavors are revealed. Water optional.', ': The whole impression is of dryness and austerity. The flavor and aroma components are sparse, there is very little in the way of sweetness, and no fruit or floral notes to balance the wood. Despite the claims on the bottle, this is a very squarely bottom-shelf bourbon which can disappear into any cocktail you choose without breaking the bank. For what it’s worth, at $25 this is a reasonable deal, just don’t expect anything interesting if drinking it neat.']"
245,Hochstadter’s Rye ,"[': A burst of florals and fruits: red apple, freshly-ground cinnamon and clove, violets, and faint peppermint. Complex, and yet light, airy, vibrant, and fresh. This is the kind of whiskey that pulls your nose in deeper. Excellent.', ': Thin body. Spicy, with cinnamon red hots, and a spike of alcohol burn. This resolves into gingerbread, pickled ginger (gari), cherry cordials (minus the chocolate), and a slight oaky sweetness (although the overall impression is quite dry).', ': On the short side. Red apple skin tannins, ground ginger and cardamom (anise-like). Fades with assorted (and muddled) dusty spice cabinet jars.', ': Water actually seems to mute the aromatic variety of this rye, instead making it hotter (more nose tickle). The palate gains a caraway (rye bread) note, and is a little less muddled. The finish is also more vibrant, and has a bit of tartness to it. I would skip the water when drinking this neat to preserve the aroma, but this tells me that melting ice in a cocktail will only improve the melding of this rye with other ingredients.', ': While the palate and finish are a little muddy, the aroma is fascinating and flawless and keeps drawing me back for more. Luckily, this makes an expressive, fragrant cocktail and is the first time ']"
246,Hyde No. 3 “The Áras Cask” 6 Year-old Irish Single Grain Whiskey ,"[': Vodka notes up front, suggesting a rest in the glass is needed. After a rest, there is still an industrial solvent off-note dominating the aroma.', ': Syrupy body. Meaty, with nutty toasted hazelnut. Low burn. That industrial off-note remains.', ': Medium-long. Permeated by grimy industrial oil. Finishes with walnut oil, burned sugar, and a bit of bitterness. Unpleasant.', ': A few drops of water elevate the vodka/acetone note without adding anything of value. Skip the water.', ': The overall impression I have is “unpleasant”. It doesn’t have too much of the young vodka/acetone notes one associates with young grain whiskey, but it’s dominated by a grimy, ugly note that hovers somewhere between burned sugar and rancid oil. In a word, unpleasant. Someone, somewhere, likes this flavor profile and would be happy to pay $50 for it. I’m not that person.']"
247,I.W. Harper Bourbon ,"[': First impression is of something weirdly vegetal – grassy… like trampled wet grass or freshly-turned compost. A rest in the glass reveals a heavy banana note, verging on rotting banana peel, which eventually resolves into banana sorbet. Not a great start.', ': Thin body. Pecans, black pepper, and more of that mushy banana. A little dull, and vaguely watery. A muddy blend of stale cornbread, plain white sugar (and not much of it), swampy oak, and spent coffee grounds.', ': Of medium length. Vague brown sugar, bitter barrel char, dry oaky tannins, and a fleeting grassy note, like spent sugarcane.', ': Several drops of water reveal a fresher sort of banana and perhaps a little dried coconut. The palate is brighter, but the finish is just as dull.', ': Eh. As mediocre a bourbon as I’ve had in a while. A confusing and off-putting aroma, bland and watery on the palate, and a forgettable finish. The cocktails I’ve made with it are uninteresting. This is a solid “Don’t Bother” in my book.']"
248,Isle of Jura (10 year) (43% Presentation) ,"[': Clean and crisp, with notes of green apple and fresh pears. Some sweet florals – honeysuckle – and a strong presence of green banana. Slightly grassy, like aloe vera. No peat in evidence.', ': Moderately creamy body, with an initial wave of vanilla, followed by freshly-mown grass, unripe fruit, aloe juice, and dry wood notes.', ': Short. Raw sugar cane, plus some slightly bitter wood tannins, which fade quickly into faint dry woodiness.', ': A few drops of water intensifies the green banana notes without contributing anything else. The palate, however, is markedly sweeter with notes of egg custard, vanilla pudding, and a thicker body. Water is probably a good idea with this.', ': A fairly standard ex-bourbon malt without much age on it. The vanilla and green fruits, grass, and disappointing finish are hallmarks of a not-quite-ready-yet malt from (possibly) refill bourbon casks. At around $40 a bottle, I would probably choose ']"
249,Isle of Jura (16 year) ,"[': Elegant citrus – grapefruit maybe, or ', ': Slightly chewy texture, and quite sweet. Candied orange peels, tawny fudge, blanched almonds, and marzipan. Not an ounce of burn on the tongue. Ladylike, even.', ': The heather notes return, with honey and a bit of oaky tannins. A final wave of very mild citrus – just pith, maybe – and a ghost of bitterness.', ': Several drops of water draw out a bit more of the eccentric aspects of the sherry, namely a leather note, and some lemon peel, which continues through the palate and finish as extra tartness. Water is not needed here, but does add something interesting.', ': An eminently likable malt. Flawless in execution, sweet and mild on the tongue, with a moderately perfumed aroma. This would be excellent with a mild cigar. Jura has a lot of ardent admirers, and I can see why. It is not intense nor challenging, but it is complex enough to reward contemplation.']"
250,Isle of Skye (8 year) ,[]
251,J.H. Cutter Whiskey ,"[': Vaguely malty (from the Potrero malted rye), with hints of corn alongside malted milk balls, orange peel, cardamom, and rye spices. Lilacs and other florals, plus a very light fruity note like pear drops. A rest in the glass reveals more bourbon-like notes, with dark corn syrup and toasted oak.', ': Thin body. Moderate tongue burn, appropriate for 48% ABV. Tastes more like a lighter-style bourbon now, with corn-forward flavors, cherry syrup, spicy rye notes, and a welcome continuation of the pear drops from the aroma. Reminds me of some ', ': Medium length. Not bitter or tannic at all. The fruits persist, and a mouth-drying menthol note kicks in early. The maltiness comes back in the end, like vanilla marshmallows and frosted cereal. Pleasant.', ': The addition of a few drops of water initially mutes the aroma, requiring a rest in the glass. Even then, the only thing that wakes up is the nose tickle. Skip water here.', ': A very pleasant, subtle, perfumed, even dainty whiskey with a mixture of familiar and novel flavors. The port finish comes through in faint pear drops (I love that), while the two whiskies shift between rye spiciness and light corn sweetness, back and forth over the palate. I got a sweet deal for $34 which makes this an approachable experiment. Much above $45 and I wouldn’t feel like I had gotten my money’s worth. It is very young whisky, after all, although Anchor has done an excellent job masking the youth behind good old-fashioned flavor.']"
252,J.P. Wiser’s Canadian Rye Whisky ,"[': Toffee or butterscotch. The nose is fairly faint, which some might call “smooth” while others might call it “bland”. There is sweetness, but it has an artificial bent. Of rye, there is nary a sign.', ': Lightly sweet, and so “smooth” that there is neither much tongue burn nor much flavor. A faint cereal note, a manufactured caramel note, and.. that’s all, folks.', ': Short. A reprise of the palate, with still no hint of rye character. A slight chemical bitterness – like the residue on new plastic – forms the tail end of the finish.', ': At this ABV and lightness of character, water isn’t warranted. Indeed, adding it only heightened the artificial sweetness, now like bottled corn syrup.', ': It is perhaps not fair to rate this whisky neat. It was likely not intended to compete with single malt or straight bourbon. Still, with the word ‘rye’ on the label you’d expect a little spice or something. The sweet flavors are artificial, and the whisky flavors so light as to be ignorable. I suppose you could mix drinks with it, but unless you’re allergic to flavor, a similarly-priced bourbon is likely to give you more bang for your whiskey buck in any cocktail. It says “Quality is something you just can’t rush” on the bottle, which leads me to wonder if this whiskey was made in record time.']"
253,J.P. Wiser’s Canadian Whisky (18 year) ,"[': Glue. After a rest in the glass to disperse any aroma of adhesives, the nose is suggestive of rye but contains a lot of vanilla and heavy, syrupy sweetness. Somewhat cloying, like a heavily frosted cinnamon bun on a sweltering hot day. Also, banana bread, corn pudding, and a ghostly echo of that glue (think grade-school rubber cement).', ': Syrupy body. Rye bread up front, complete with toasted caraway seed, plus rye grain cinnamon and clove. The sweetness is suffusive, but not quite as cloying as suggested by the nose. It’s also not very nuanced – try to imagine eating a spoonful of white corn syrup out of the bottle.', ': Short. As soon as I swallow, the whisky’s character evaporates. There might be a whiff of vanilla and clove left behind.', ': I hesitate to add any water at all, but a few drops release an amped-up wave of bakery spices before settling back into cloying sugary-ness. The palate is unchanged, as is the finish. No water needed here.', ': I would have assumed that 18 years in oak would have at least added some oaky complexity or mellowed those weird glue notes into something nuanced. Tasted blind, I would have said this was American rye at 4 or 5 years of age that had been watered down to 30% ABV and had corn syrup added to it. None of that is true, but that is the impression left upon me by my three attempts to appreciate the “Tradition of Quality and Craftsmanship” promised by the label.']"
254,Jack Daniel’s Single Barrel Tennessee Whiskey ,[]
255,James E. Pepper 1776 100-Proof Rye ,"[': Spicy and peppery, and slightly vegetal, with clear “young rye” eucalyptus and menthol notes. Fresh mint, orange peel, clove, and root beer (Sassafras). A rest in the glass reveals a few welcome floral notes.', ': Thin body. Hardy tongue burn (expected at 100 proof). Green grass and crushed mint, orange zest, and root beer persist on the palate, and the whole is fully-flavored but dry (not very sweet).', ': Medium-short. The mint carries through, although the finish turns a little bitter. Bitter roots, mild charcoal, and very slight mouth-drying oak tannins. Fades quickly without evolving.', ': A few drops of water increase the nose tickle without adding any additional aromas. The palate becomes a bit woody (odd, that) and the finish displays more tannins, plus a rush of black licorice. Water optional.', ': It’s funny what a few small differences can mean for the overall recommendability (nope, still not a word) of a whiskey. The cask-strength rye suffered in my review for its middle-of-the-road character that didn’t quite live up to its $40 price tag. Drop the ABV a few percent (and much more importantly, drop the price $15), and I start calling it a very well put-together rye, if a touch on the young side. Luckily, those youthful notes are all of the grass/mint variety, and not in the “paint thinner” category. A solid rye for the price, and certainly a good choice for whiskey-based cocktails, but I still prefer ']"
256,James E. Pepper 1776 Barrel Proof Rye ,"[': A blast of rye favorites: cinnamon, clove, stale nutmeg, plus a hint of cherry and a wave of marzipan. Potent and concentrated, and not suggestive of young under-matured rye. ', ': Medium-bodied. Dry and super hot (duh). Dusty spices and bright-red maraschino cherries. Spiced cider and baked apples (very reminiscent, in fact, of ', ': Medium-long. Apples again, and the requisite spices, plus more black pepper. Drying, and nicely oaky. Fades with some charcoal and without bitterness, but it’s so dry that it seems a little unbalanced.', ': Several drops of water have little effect on the aroma. They also fail to dampen the tongue burn. A much larger splash does something interesting: a huge dose of cherry pie filling on the nose (almost sweet!), and a much softer grain-forward palate with more bakery (as opposed to dry spice cabinet) spices. The finish also has a little caramel on it. If you find this to be one-dimensional or overly dry at full strength, try proofing it down to 45% or so. It’s worth the effort.', ': This is exactly what I’d expect from a $40 mass-produced factory rye at cask strength: One-dimensional high-rye notes of spices, without a lot of sweetness or complexity to back it up. I tried it in a Manhattan and was mildly disappointed. The barrel proof kicks up a potent cocktail (which I like), but the dryness and peppery-ness fail to balance with the vermouth, and the spice notes are lost, or become dusty. The result is a dry, one-dimensional cocktail with power but no finesse.']"
257,James E. Pepper 1776 Bourbon ,"[': Needed some time to wake up after pouring from a fresh bottle. Although still very shy, the aroma reveals deep sugary fudge, cherry cordial, and a dark resinous furniture polish. Brooding, if I’m allowed to anthropomorphize.', ': Medium bodied. Tannic, with an eye-searing tongue burn up front. After wiping my eyes with as much manliness as I could muster… nope, still burning, hold on… “Small sips, man, c’mon… small sips.” Ok. Black forest cake (chocolate and cherries), fudge again, black walnut sawdust, drippy tree resin, and more furniture polish. Still brooding.', ': Of medium length. Cocoa powder (dry, dusty), drying barrel tannin but no charcoal bitterness. Fades without changing.', ': A hearty splash of water does little for the aroma, although it does dampen the tongue burn a bit. For that alone, try a little water (or even ice) with this one. The finish also picks up a little welcome herbaceousness – perhaps mint.', ': Woah. This is some serious-business bourbon. Deep, dark, sweet, and pungent, this blows the socks off of the ']"
258,Jefferson’s Very Small Batch Bourbon ,"[': Soft grains; fresh corn, with a sweet coconut-and-banana tone. Vanilla buttercream, with sugars verging on caramel. Very slight spiciness, more like cinnamon bun than the actual spice.', ': Medium-full body. Slightly hot. A bit of sugar cane appears, with its hint of vegetation, and an edge of charcoal. Oaky, with not as much sweetness as was promised on the aroma.', ': Medium-long. Some bitterness, oak tannin, and more charcoal. Fades with a bit of honey, like candy corn, and marzipan.', ': A few drops of water bring that green sugar cane note to the aroma, which becomes almost grassy. It also adds more vanilla but thins the palate. It’s a little less hot. This bourbon can handle a little water, but doesn’t need it.', ': A respectable, mid-range bourbon. There are more sweet notes promised to the nose than are delivered to the palate, but on the whole it’s well balanced and non-threatening. This would make a reasonable house bourbon (it’s slightly sweeter, slightly less vegetal, and slightly less complex than my usual go-to bourbon, ']"
259,Jim Beam “Pre-Prohibition Style” Rye ,"[': Grassy Beam character with a healthy dose of green apple, freshly-mown grass, and fresh corn kernels. The dominant note on the aroma is tart: that green apple almost turning into lime juice. There is very little of the expected rye profile: no cinnamon, no clove, and only a hint of anise. Still, there are no unpleasant notes, and no “paint thinner” or chemical smells.', ': Syrupy body. Hot, with an unpleasant amount of burn for a 90 proof whiskey. Burnt caramel, caramel apple, unroasted coffee beans, and (at last) a swath of bakery spices. Now it tastes like a rye, although the youthful grassy notes are still evident.', ': Medium-short. Tart again, with more apple and now candy-corn. This fades quickly, leaving apple skins, slightly bitter barrel char, and a touch of paint thinner.', ': Several drops of water make this smell even more like Beam: More grass. The water also adds a green banana / unripe coconut note to both the aroma and palate. The palate and finish also acquire a weird “fruit” punch or bubblegum flavor. Water is not necessary with this one, but won’t ruin anything either.', ': This is really not bad for $16 a bottle. If you forgive the young grassy notes, the faintness of the rye spices on the aroma, and the lackluster and kind-of unpleasant finish, you could do WAY worse for under $20 a bottle. I still prefer my old standbys ']"
